Alpha,Mean_CV_F1,Std_CV_F1,Rank
0.0001,,,1
0.00012045035402587823,,,1
0.000145082877849594,,,1
0.0001747528400007683,,,1
0.00021049041445120198,,,1
0.00025353644939701115,,,1
0.0003053855508833416,,,1
0.0003678379771828634,,,1
0.0004430621457583882,,,1
0.0005336699231206312,,,1
0.0006428073117284319,,,1
0.000774263682681127,,,1
0.0009326033468832199,,,1
0.0011233240329780276,,,1
0.0013530477745798076,,,1
0.0016297508346206436,,,1
0.0019630406500402726,,,1
0.002364489412645407,,,1
0.002848035868435802,,,1
0.003430469286314919,,,1
0.0041320124001153384,,,1
0.004977023564332114,,,1
0.005994842503189409,,,1
0.007220809018385471,,,1
0.008697490026177835,,,1
0.010476157527896652,,,1
0.012618568830660211,,,1
0.015199110829529346,,,1
0.018307382802953697,,,1
0.022051307399030457,,,1
0.026560877829466867,,,1
0.03199267137797385,,,1
0.03853528593710531,,,1
0.04641588833612782,,,1
0.055908101825122285,,,1
0.06734150657750829,,,1
0.08111308307896872,,,1
0.09770099572992257,,,1
0.1176811952434999,,,1
0.14174741629268062,,,1
0.1707352647470692,,,1
0.20565123083486536,,,1
0.24770763559917114,,,1
0.298364724028334,,,1
0.3593813663804629,,,1
0.43287612810830617,,,1
0.521400828799969,,,1
0.6280291441834259,,,1
0.7564633275546291,,,1
0.9111627561154896,,,1
1.0974987654930568,,,1
1.3219411484660315,,,1
1.592282793341094,,,1
1.9179102616724888,,,1
2.310129700083163,,,1
2.782559402207126,,,1
3.351602650938848,,,1
4.037017258596558,,,1
4.862601580065354,,,1
5.857020818056673,,,1
7.054802310718645,,,1
8.497534359086455,,,1
10.235310218990268,,,1
12.328467394420684,,,1
14.849682622544666,,,1
17.886495290574352,,,1
21.544346900318867,,,1
25.950242113997373,,,1
31.257158496882415,,,1
37.649358067924716,,,1
45.34878508128591,,,1
54.62277217684348,,,1
65.79332246575683,,,1
79.24828983539186,,,1
95.45484566618347,,,1
114.9756995397738,,,1
138.48863713938746,,,1
166.81005372000593,,,1
200.923300256505,,,1
242.01282647943833,,,1
291.5053062825182,,,1
351.11917342151344,,,1
422.9242874389508,,,1
509.4138014816386,,,1
613.5907273413176,,,1
739.072203352579,,,1
890.2150854450392,,,1
1072.2672220103254,,,1
1291.5496650148852,,,1
1555.6761439304755,,,1
1873.8174228603868,,,1
2257.0197196339213,,,1
2718.5882427329457,,,1
3274.5491628777318,,,1
3944.206059437664,,,1
4750.810162102803,,,1
5722.3676593502205,,,1
6892.61210434971,,,1
8302.175681319752,,,1
10000.0,,,1
